frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
62,538.80133,123.541756,537.94495,118.12238,535.8397,118.24957,522.7513,118.786644,521.2728,120.813644,499.6027,142.67795,507.4667,156.04665,496.3101,199.98915,482.39743,221.76074,524.6436,223.8169,460.8901,277.79193,456.36417,239.35023,449.72235,243.65532,494.47327,309.98257,442.15735,326.22137,519.09235,399.87247,388.67825,397.07468
63,541.43634,124.31622,539.52673,118.804276,539.437,119.07738,523.45044,117.716385,526.8214,119.573105,501.6194,143.02391,514.16016,151.83542,496.65646,200.58797,503.2527,211.52538,523.0007,234.37114,507.9055,254.4302,466.5256,239.99165,460.75998,242.9444,502.2202,314.13098,451.7884,327.01974,519.9222,402.11713,390.31177,399.21085
64,546.5075,120.31901,544.069,114.99777,543.16626,115.86935,527.3149,115.36307,529.38416,118.90842,503.14212,139.1999,522.592,149.3744,490.62408,195.90977,519.07385,205.45981,511.67493,241.46933,531.26624,247.37201,473.14426,237.93512,470.9606,242.3419,508.28888,310.0922,459.4306,328.6212,518.7455,401.23334,397.44107,393.9506
65,548.8886,114.3697,546.87103,108.81116,546.25714,108.78424,528.0503,109.61627,534.24475,110.90207,503.1422,138.53345,527.0026,143.30627,499.9602,199.6247,521.80145,202.7784,521.98096,243.29144,538.12305,243.58165,474.15527,236.56879,478.4033,239.31445,512.01215,312.29453,478.9725,325.42566,519.51556,403.68054,403.33047,386.59558
66,550.23413,112.08821,547.8946,106.27688,547.35126,106.44628,528.2512,106.383766,534.87726,108.21654,504.2865,133.39027,529.16907,142.67085,500.40128,183.43723,530.2816,203.04097,519.6751,223.44435,540.32227,243.7656,481.13052,235.08708,486.6619,239.12723,519.2735,310.14136,489.3832,324.34436,519.8002,402.46744,416.53494,384.8471
67,550.53503,105.73707,547.2972,99.75286,547.8557,100.01598,526.87836,100.70038,537.8249,102.753494,508.46375,133.20688,531.1478,137.83792,512.9885,186.80121,531.28033,194.2969,533.9718,230.24136,543.77246,236.69098,487.6967,235.16884,493.9976,238.044,522.0538,311.52072,506.50943,324.84467,519.5598,402.88126,430.13135,374.6692
68,552.26385,104.43586,548.866,98.7759,548.26355,99.201035,527.2032,99.63562,535.1129,102.42568,506.03232,128.93169,535.7757,136.12427,504.4738,178.99638,535.8443,196.37006,526.63,220.04695,543.7403,244.21785,491.8142,232.9361,505.2582,237.05038,525.21655,310.77618,517.9913,327.34073,520.6667,401.06665,442.58,372.78195
69,552.602,103.54061,549.5955,97.63037,550.6225,97.79097,526.5129,99.58918,540.0863,101.79962,507.9919,127.594185,538.2248,135.38226,510.0608,154.8241,537.03375,189.28052,531.598,169.85393,546.4496,237.68982,494.39304,232.70094,513.32733,235.84912,524.7683,312.86475,526.9816,321.93552,522.9941,400.67853,462.3341,373.676
70,563.949,101.87804,562.21124,95.91464,561.27924,95.79333,542.0822,96.46512,549.2268,96.8355,523.7106,126.35727,545.63385,127.894775,520.6371,173.15784,549.04944,182.89772,540.15125,212.29808,557.7641,226.38017,514.0742,229.28937,529.42944,231.17598,539.2552,310.84186,549.9703,318.60785,538.85803,388.8208,500.90866,382.89197
71,555.4106,102.60124,553.45245,96.83995,552.9997,96.91648,532.8304,99.443855,543.3405,100.57869,518.1613,128.80954,538.77747,132.6742,517.2643,170.66316,541.6748,187.5118,537.1259,203.07489,548.76355,229.78313,509.32114,233.3383,525.2638,235.80942,537.0498,316.11255,542.4251,320.08752,522.3533,393.3168,508.95053,393.9537
